03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/Menubar' windows added. (0x29b2c40)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/PopupMenu' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/PopupMenu' windows added. (0x29b2de0)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/MenuItem' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/MenuItem' windows added. (0x29b3090)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/MultiColumnList' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/MultiColumnList' windows added. (0x29b3230)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/MultiLineEditbox' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/MultiLineEditbox' windows added. (0x29b33d0)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/ProgressBar' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/ProgressBar' windows added. (0x29b3570)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/ScrollablePane' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/ScrollablePane' windows added. (0x29b3710)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/Scrollbar' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/Scrollbar' windows added. (0x29b4510)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/Slider' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/Slider' windows added. (0x29b46b0)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/Spinner' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/Spinner' windows added. (0x29b4850)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/TabButton' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/TabButton' windows added. (0x29b49f0)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/TabControl' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/TabControl' windows added. (0x29b4b90)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/Thumb' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/Thumb' windows added. (0x29b4d30)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/Titlebar' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/Titlebar' windows added. (0x29b4ed0)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/Tooltip' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/Tooltip' windows added. (0x29b5070)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/ItemListbox' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/ItemListbox' windows added. (0x29b5210)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/GroupBox' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/GroupBox' windows added. (0x29b53b0)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'CEGUI/Tree' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'CEGUI/Tree' windows added. (0x29b5550)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'HorizontalLayoutContainer' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'HorizontalLayoutContainer' windows added. (0x29b2f80)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'VerticalLayoutContainer' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'VerticalLayoutContainer' windows added. (0x29b59e0)
03/08/2011 03:53:38 (Std) 	Created WindowFactory for 'GridLayoutContainer' windows.
03/08/2011 03:53:38 (Std) 	WindowFactory for 'GridLayoutContainer' windows added. (0x29b5b80)
03/08/2011 03:53:38 (Std) 	Window type alias named 'DefaultGUISheet' added for window type 'DefaultWindow'.
03/08/2011 03:53:38 (Std) 	CEGUI::System singleton created. (0x29805a0)
03/08/2011 03:53:38 (Std) 	---- CEGUI System initialisation completed ----
03/08/2011 03:53:38 (Std) 	
03/08/2011 03:53:38 (Std) 	XercesParser::initialiseSchema - Attempting to load schema from file 'GUIScheme.xsd'.
03/08/2011 03:53:38 (Std) 	XercesParser::initialiseSchema - XML schema file 'GUIScheme.xsd' has been initialised.
03/08/2011 03:53:38 (Std) 	Started creation of Scheme from XML specification:
03/08/2011 03:53:38 (Std) 	---- CEGUI GUIScheme name: TaharezLook
03/08/2011 03:53:38 (Std) 	XercesParser::initialiseSchema - Attempting to load schema from file 'Imageset.xsd'.
03/08/2011 03:53:38 (Std) 	XercesParser::initialiseSchema - XML schema file 'Imageset.xsd' has been initialised.
03/08/2011 03:53:38 (Std) 	Started creation of Imageset from XML specification:
03/08/2011 03:53:38 (Std) 	---- CEGUI Imageset name: TaharezLook
03/08/2011 03:53:38 (Std) 	---- Source texture file: TaharezLook.tga in resource group: (Default)
03/08/2011 03:53:38 (Std) 	XercesParser::initialiseSchema - Attempting to load schema from file 'Font.xsd'.
03/08/2011 03:53:38 (Std) 	XercesParser::initialiseSchema - XML schema file 'Font.xsd' has been initialised.
03/08/2011 03:53:38 (Std) 	Started creation of Font from XML specification:
03/08/2011 03:53:38 (Std) 	---- CEGUI font name: DejaVuSans-10
03/08/2011 03:53:38 (Std) 	----       Font type: FreeType
03/08/2011 03:53:38 (Std) 	----     Source file: DejaVuSans.ttf in resource group: (Default)
03/08/2011 03:53:38 (Std) 	---- Real point size: 10
03/08/2011 03:53:38 (Std) 	XercesParser::initialiseSchema - Attempting to load schema from file 'Falagard.xsd'.
03/08/2011 03:53:38 (Std) 	XercesParser::initialiseSchema - XML schema file 'Falagard.xsd' has been initialised.
03/08/2011 03:53:38 (Std) 	===== Falagard 'root' element: look and feel parsing begins =====
03/08/2011 03:53:38 (Std) 	===== Look and feel parsing completed =====
03/08/2011 03:53:38 (Std) 	No window renderer factories specified for module 'CEGUIFalagardWRBase' - adding all available factories...
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/Button' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/Button' added. (0x7f59d4106660)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/Default' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/Default' added. (0x7f59d4000d60)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/Editbox' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/Editbox' added. (0x7f59d4107280)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/FrameWindow' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/FrameWindow' added. (0x7f59d41f2080)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/ItemEntry' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/ItemEntry' added. (0x7f59d40013c0)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeader' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/ListHeader' added. (0x7f59d4251e40)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeaderSegment' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/ListHeaderSegment' added. (0x7f59d4287310)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/Listbox' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/Listbox' added. (0x7f59d4008eb0)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/Menubar' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/Menubar' added. (0x7f59d40468e0)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/MenuItem' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/MenuItem' added. (0x7f59d4283ce0)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/MultiColumnList' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/MultiColumnList' added. (0x7f59d4283da0)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/MultiLineEditbox' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/MultiLineEditbox' added. (0x7f59d40260d0)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/PopupMenu' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/PopupMenu' added. (0x7f59d4047e40)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/ProgressBar' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/ProgressBar' added. (0x7f59d41f1c40)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/ScrollablePane' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/ScrollablePane' added. (0x7f59d41f1de0)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/Scrollbar' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/Scrollbar' added. (0x7f59d4036200)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/Slider' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/Slider' added. (0x7f59d40363a0)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/Static' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/Static' added. (0x7f59d4027c50)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/StaticImage' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/StaticImage' added. (0x7f59d4027df0)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/StaticText' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/StaticText' added. (0x7f59d40267b0)
03/08/2011 03:53:38 (Std) 	Created WindowRendererFactory for 'Falagard/SystemButton' WindowRenderers.
03/08/2011 03:53:38 (Std) 	WindowRendererFactory 'Falagard/SystemButton' added. (0x7f59d4026950)
